Row,Var1
1,b0002
2,b0003
3,b0004
4,b0007
5,b0008
6,b0009
7,b0019
8,b0025
9,b0026
10,b0029
11,b0030
12,b0031
13,b0032
14,b0033
15,b0036
16,b0037
17,b0038
18,b0040
19,b0047
20,b0048
21,b0049
22,b0052
23,b0061
24,b0062
25,b0063
26,b0066
27,b0067
28,b0068
29,b0070
30,b0071
31,b0072
32,b0073
33,b0074
34,b0077
35,b0078
36,b0084
37,b0085
38,b0086
39,b0087
40,b0088
41,b0090
42,b0091
43,b0092
44,b0096
45,b0099
46,b0103
47,b0104
48,b0109
49,b0110
50,b0112
51,b0114
52,b0115
53,b0116
54,b0118
55,b0120
56,b0121
57,b0123
58,b0124
59,b0125
60,b0126
61,b0131
62,b0133
63,b0134
64,b0142
65,b0149
66,b0150
67,b0151
68,b0152
69,b0153
70,b0154
71,b0155
72,b0158
73,b0159
74,b0160
75,b0166
76,b0171
77,b0173
78,b0174
79,b0175
80,b0179
81,b0180
82,b0181
83,b0182
84,b0185
85,b0186
86,b0194
87,b0197
88,b0198
89,b0199
90,b0200
91,b0207
92,b0212
93,b0221
94,b0222
95,b0237
96,b0238
97,b0241
98,b0242
99,b0243
100,b0260
101,b0261
102,b0273
103,b0306
104,b0307
105,b0308
106,b0311
107,b0312
108,b0314
109,b0323
110,b0331
111,b0333
112,b0334
113,b0336
114,b0337
115,b0339
116,b0340
117,b0341
118,b0343
119,b0344
120,b0347
121,b0348
122,b0349
123,b0350
124,b0351
125,b0352
126,b0353
127,b0355
128,b0356
129,b0365
130,b0366
131,b0367
132,b0368
133,b0369
134,b0381
135,b0383
136,b0386
137,b0388
138,b0394
139,b0401
140,b0403
141,b0404
142,b0411
143,b0414
144,b0415
145,b0417
146,b0418
147,b0420
148,b0421
149,b0423
150,b0425
151,b0428
152,b0429
153,b0430
154,b0431
155,b0432
156,b0433
157,b0444
158,b0446
159,b0451
160,b0452
161,b0459
162,b0462
163,b0463
164,b0469
165,b0474
166,b0475
167,b0477
168,b0480
169,b0484
170,b0485
171,b0494
172,b0505
173,b0507
174,b0508
175,b0509
176,b0511
177,b0512
178,b0514
179,b0516
180,b0517
181,b0521
182,b0522
183,b0523
184,b0524
185,b0526
186,b0529
187,b0572
188,b0573
189,b0574
190,b0575
191,b0576
192,b0578
193,b0583
194,b0584
195,b0585
196,b0586
197,b0588
198,b0589
199,b0590
200,b0591
201,b0592
202,b0593
203,b0594
204,b0595
205,b0596
206,b0604
207,b0612
208,b0613
209,b0614
210,b0615
211,b0616
212,b0617
213,b0621
214,b0622
215,b0628
216,b0630
217,b0632
218,b0635
219,b0638
220,b0639
221,b0642
222,b0650
223,b0651
224,b0652
225,b0653
226,b0654
227,b0655
228,b0657
229,b0662
230,b0674
231,b0677
232,b0678
233,b0679
234,b0680
235,b0684
236,b0688
237,b0692
238,b0693
239,b0696
240,b0697
241,b0698
242,b0709
243,b0720
244,b0721
245,b0722
246,b0723
247,b0724
248,b0726
249,b0727
250,b0728
251,b0729
252,b0731
253,b0732
254,b0733
255,b0734
256,b0736
257,b0750
258,b0751
259,b0752
260,b0754
261,b0755
262,b0756
263,b0757
264,b0758
265,b0759
266,b0763
267,b0764
268,b0765
269,b0766
270,b0767
271,b0774
272,b0775
273,b0776
274,b0777
275,b0778
276,b0781
277,b0783
278,b0784
279,b0785
280,b0789
281,b0805
282,b0809
283,b0810
284,b0811
285,b0813
286,b0822
287,b0825
288,b0826
289,b0827
290,b0828
291,b0829
292,b0830
293,b0831
294,b0832
295,b0837
296,b0839
297,b0841
298,b0842
299,b0849
300,b0854
301,b0855
302,b0856
303,b0857
304,b0860
305,b0861
306,b0862
307,b0863
308,b0864
309,b0870
310,b0871
311,b0875
312,b0886
313,b0887
314,b0888
315,b0893
316,b0894
317,b0895
318,b0896
319,b0902
320,b0903
321,b0904
322,b0907
323,b0908
324,b0910
325,b0914
326,b0915
327,b0918
328,b0928
329,b0929
330,b0930
331,b0931
332,b0932
333,b0933
334,b0934
335,b0935
336,b0936
337,b0937
338,b0945
339,b0954
340,b0957
341,b0963
342,b0968
343,b0972
344,b0973
345,b0974
346,b0978
347,b0979
348,b0980
349,b0996
350,b0997
351,b1002
352,b1006
353,b1007
354,b1008
355,b1009
356,b1010
357,b1011
358,b1012
359,b1014
360,b1015
361,b1033
362,b1054
363,b1059
364,b1062
365,b1064
366,b1069
367,b1090
368,b1091
369,b1092
370,b1093
371,b1094
372,b1095
373,b1096
374,b1098
375,b1101
376,b1102
377,b1106
378,b1107
379,b1109
380,b1119
381,b1123
382,b1124
383,b1125
384,b1126
385,b1131
386,b1134
387,b1136
388,b1185
389,b1186
390,b1189
391,b1190
392,b1192
393,b1193
394,b1197
395,b1198
396,b1199
397,b1200
398,b1206
399,b1207
400,b1208
401,b1210
402,b1215
403,b1216
404,b1223
405,b1224
406,b1225
407,b1226
408,b1227
409,b1232
410,b1236
411,b1238
412,b1241
413,b1243
414,b1244
415,b1245
416,b1246
417,b1247
418,b1249
419,b1250
420,b1252
421,b1260
422,b1261
423,b1262
424,b1263
425,b1264
426,b1270
427,b1276
428,b1277
429,b1278
430,b1281
431,b1288
432,b1291
433,b1296
434,b1297
435,b1298
436,b1300
437,b1301
438,b1302
439,b1308
440,b1319
441,b1325
442,b1326
443,b1329
444,b1363
445,b1377
446,b1378
447,b1380
448,b1385
449,b1386
450,b1387
451,b1388
452,b1389
453,b1390
454,b1391
455,b1392
456,b1393
457,b1394
458,b1395
459,b1397
460,b1398
461,b1415
462,b1440
463,b1441
464,b1442
465,b1443
466,b1444
467,b1453
468,b1463
469,b1465
470,b1466
471,b1467
472,b1468
473,b1469
474,b1473
475,b1474
476,b1475
477,b1476
478,b1478
479,b1479
480,b1483
481,b1484
482,b1485
483,b1486
484,b1487
485,b1488
486,b1489
487,b1492
488,b1493
489,b1519
490,b1521
491,b1524
492,b1525
493,b1528
494,b1533
495,b1539
496,b1584
497,b1587
498,b1588
499,b1589
500,b1590
501,b1592
502,b1599
503,b1600
504,b1602
505,b1603
506,b1605
507,b1606
508,b1611
509,b1612
510,b1613
511,b1621
512,b1622
513,b1623
514,b1634
515,b1636
516,b1637
517,b1638
518,b1640
519,b1646
520,b1651
521,b1654
522,b1656
523,b1661
524,b1662
525,b1676
526,b1677
527,b1679
528,b1680
529,b1681
530,b1682
531,b1683
532,b1684
533,b1692
534,b1693
535,b1701
536,b1702
537,b1704
538,b1709
539,b1710
540,b1711
541,b1713
542,b1714
543,b1719
544,b1723
545,b1732
546,b1734
547,b1740
548,b1744
549,b1745
550,b1746
551,b1747
552,b1748
553,b1759
554,b1761
555,b1764
556,b1767
557,b1768
558,b1773
559,b1778
561,b1781
562,b1800
563,b1801
564,b1805
565,b1812
566,b1814
567,b1817
568,b1818
569,b1819
570,b1849
571,b1850
572,b1851
573,b1852
574,b1854
575,b1855
576,b1857
577,b1858
578,b1859
579,b1865
580,b1866
581,b1872
582,b1873
583,b1876
584,b1896
585,b1897
586,b1900
587,b1901
588,b1907
589,b1912
590,b1919
591,b1927
592,b1981
593,b1982
594,b1991
595,b1992
596,b1993
597,b2010
598,b2019
599,b2020
600,b2021
601,b2022
602,b2023
603,b2024
604,b2025
605,b2026
606,b2027
607,b2028
608,b2029
609,b2032
610,b2033
611,b2034
612,b2035
613,b2036
614,b2037
615,b2038
616,b2039
617,b2040
618,b2041
619,b2045
620,b2048
621,b2049
622,b2051
623,b2052
624,b2053
625,b2065
626,b2066
627,b2091
628,b2092
629,b2093
630,b2094
631,b2095
632,b2096
633,b2097
634,b2103
635,b2104
636,b2114
637,b2128
638,b2129
639,b2130
640,b2131
641,b2132
642,b2133
643,b2134
644,b2143
645,b2146
646,b2147
647,b2148
648,b2149
649,b2150
650,b2153
651,b2154
652,b2155
653,b2156
654,b2162
655,b2167
656,b2168
657,b2169
658,b2170
659,b2174
660,b2197
661,b2198
662,b2199
663,b2200
664,b2201
665,b2202
666,b2203
667,b2204
668,b2205
669,b2206
670,b2210
671,b2215
672,b2221
673,b2222
674,b2223
675,b2224
676,b2232
677,b2234
678,b2235
679,b2239
680,b2240
681,b2241
682,b2242
683,b2243
684,b2251
685,b2253
686,b2254
687,b2255
688,b2256
689,b2257
690,b2258
691,b2260
692,b2261
693,b2262
694,b2263
695,b2264
696,b2265
697,b2276
698,b2277
699,b2278
700,b2279
701,b2280
702,b2281
703,b2282
704,b2283
705,b2284
706,b2285
707,b2286
708,b2287
709,b2288
710,b2290
711,b2291
712,b2296
713,b2297
714,b2303
715,b2306
716,b2307
717,b2308
718,b2309
719,b2310
720,b2311
721,b2312
722,b2315
723,b2316
724,b2320
725,b2323
726,b2328
727,b2329
728,b2341
729,b2342
730,b2344
731,b2366
732,b2373
733,b2374
734,b2378
735,b2379
736,b2388
737,b2392
738,b2393
739,b2400
740,b2406
741,b2407
742,b2411
743,b2414
744,b2415
745,b2416
746,b2417
747,b2418
748,b2421
749,b2422
750,b2423
751,b2424
752,b2425
753,b2428
754,b2429
755,b2435
756,b2436
757,b2440
758,b2441
759,b2458
760,b2463
761,b2464
762,b2465
763,b2467
764,b2470
765,b2472
766,b2476
767,b2478
768,b2480
769,b2481
770,b2482
771,b2483
772,b2484
773,b2485
774,b2486
775,b2487
776,b2488
777,b2489
778,b2490
779,b2492
780,b2497
781,b2498
782,b2499
783,b2500
784,b2501
785,b2502
786,b2507
787,b2508
788,b2514
789,b2515
790,b2518
791,b2519
792,b2521
793,b2523
794,b2528
795,b2529
796,b2530
797,b2533
798,b2536
799,b2538
800,b2539
801,b2540
802,b2541
803,b2542
804,b2551
805,b2552
806,b2557
807,b2558
808,b2563
809,b2564
810,b2574
811,b2578
812,b2579
813,b2582
814,b2585
815,b2587
816,b2599
817,b2600
818,b2601
819,b2615
820,b2661
821,b2662
822,b2663
823,b2675
824,b2676
825,b2677
